cellname	file_path	stage	celltype
GasaE751351	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998982_GasaE751351.pairs.gz	E75	ExE endoderm
GasaE751353	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998984_GasaE751353.pairs.gz	E75	mitosis
GasaE751354	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998985_GasaE751354.pairs.gz	E75	neural ectoderm
GasaE751359	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998990_GasaE751359.pairs.gz	E75	ExE endoderm
GasaE751361	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998992_GasaE751361.pairs.gz	E75	neural ectoderm
GasaE751363	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998994_GasaE751363.pairs.gz	E75	neural ectoderm
GasaE751366	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998996_GasaE751366.pairs.gz	E75	blood
GasaE751372	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999002_GasaE751372.pairs.gz	E75	ExE mesoderm
GasaE751373	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999003_GasaE751373.pairs.gz	E75	ExE ectoderm
GasaE751376	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999006_GasaE751376.pairs.gz	E75	mitosis
GasaE751377	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999007_GasaE751377.pairs.gz	E75	ExE ectoderm
GasaE751378	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999008_GasaE751378.pairs.gz	E75	epithelial cells
GasaE751379	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999009_GasaE751379.pairs.gz	E75	ExE endoderm
GasaE751380	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999010_GasaE751380.pairs.gz	E75	neural ectoderm
GasaE751381	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999011_GasaE751381.pairs.gz	E75	ExE ectoderm
GasaE751383	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999013_GasaE751383.pairs.gz	E75	ExE ectoderm
GasaE751384	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999014_GasaE751384.pairs.gz	E75	ExE ectoderm
GasbE751011	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999017_GasbE751011.pairs.gz	E75	blood
GasbE751019	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999025_GasbE751019.pairs.gz	E75	neural ectoderm
GasbE751023	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999029_GasbE751023.pairs.gz	E75	blood
