Cellname	pairs	order_index	near_p	mitotic_p	farAvg	NaganoCellcycle	repli_score	annote_ratio
GasbE751309	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999307_GasbE751309.pairs.gz	839	0.7784841205589987	0.10330594964763964	22534463.358302217	early/mid-S	0.6198878408896817	0.9951464141347048
GasbE751310	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999308_GasbE751310.pairs.gz	198	0.7800647407316924	0.09881012531717961	21598187.615749937	early/mid-S	0.5749853963258348	0.9948559302838478
GasbE751311	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999309_GasbE751311.pairs.gz	1895	0.6586262429616616	0.12450786038468996	28719820.99120186	early/mid-S	0.6424581333258257	0.9951599356222169
GasbE751312	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999310_GasbE751312.pairs.gz	983	0.7556469724453658	0.09963361262272898	27350575.53307172	early/mid-S	0.5667480300397532	0.9947722700837761
GasbE751313	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999311_GasbE751313.pairs.gz	4147	0.6080387931922397	0.1497509506721654	25922069.27116178	G1	0.6026373702037282	0.9947392952006165
GasbE751314	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999312_GasbE751314.pairs.gz	1150	0.6851859790077037	0.12042401009197908	27672058.295561664	early/mid-S	0.6556551679965219	0.9947061346728284
GasbE751315	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999313_GasbE751315.pairs.gz	2115	0.6505759321006366	0.14323718511191588	24909392.909400783	early/mid-S	0.6251601338159232	0.994843748215978
GasbE751316	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999314_GasbE751316.pairs.gz	6818	0.5027781349911977	0.20230055296637414	18583798.120857242	G1	0.5317747171700999	0.9940231850683527
GasbE751317	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999315_GasbE751317.pairs.gz	7250	0.4140517239015321	0.3947628932697502	12596477.610946508	Post-M	0.5450314766695216	0.9938909615263645
GasbE751318	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999316_GasbE751318.pairs.gz	934	0.7508310005358876	0.1090550015551983	23792785.205578454	early/mid-S	0.5902339175031687	0.9946226783393676
GasbE751319	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999317_GasbE751319.pairs.gz	2109	0.6694499149669657	0.11987546403467352	28604503.501314417	early/mid-S	0.6427967720076387	0.9951419947021499
GasbE751320	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999318_GasbE751320.pairs.gz	1159	0.6888482594122035	0.1271895260011138	27126240.17991763	early/mid-S	0.6680032992614153	0.9954703322097213
GasbE751321	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999319_GasbE751321.pairs.gz	2056	0.6276528707479758	0.138977730747738	27333135.562463444	G1	0.6274966134013007	0.9952539467517543
